tte_bucket,momentum_bucket,momentum_bucket_start_cents,momentum_bucket_end_cents_exclusive,sample_size,best_model,best_log_loss,Standard Gaussian,Student-T df=5,Student-T df=3,Momentum-Adjusted Gaussian,Machine Learning (Logistic Regression),XGBoost,LightGBM,CatBoost,PySR (Symbolic Regression)
7,+1c,1,2,51,Momentum-Adjusted Gaussian,0.505430163318929,0.5152608683231888,0.5174046741480398,0.5198021652334357,0.505430163318929,0.5219184215716333,0.5158087909683977,0.520406702718847,0.5160707390528679,0.5062662362519481
7,+2c,2,3,20,Machine Learning (Logistic Regression),0.4378887492064945,0.43954986105823046,0.44923413808424006,0.4556288049676577,0.4486477729292142,0.4378887492064945,0.4410690591823799,0.4521938267185739,0.4458703231335227,0.45304843892880237
7,+3c,3,4,6,CatBoost,0.422932671215334,0.44115702040110943,0.454044828887547,0.4620605060321756,0.4490978938297923,0.44511138767928005,0.439163795713639,0.43471285752020017,0.422932671215334,0.4788675274223359
7,+4c,4,5,4,Student-T df=3,0.7709547209556545,0.9398133331603596,0.8185079118209401,0.7709547209556545,1.1074512583250975,0.8528737413160165,0.9178404605339769,0.8980994159923447,0.8035840758852627,1.3162467337831392
7,+5c,5,6,3,CatBoost,0.29180845650769066,0.3190375779483304,0.3376830071644043,0.34932309921306975,0.3126171709136662,0.3170269602856663,0.32677835473215827,0.3411379954895533,0.29180845650769066,0.3902297565735333
7,+6c,6,7,1,Momentum-Adjusted Gaussian,0.051293287329105784,0.07257068514391356,0.10537376626359085,0.12583304509453938,0.051293287329105784,0.09206340329971292,0.10740203065783341,0.1061151017010005,0.08333300711775336,0.07924375347129183
7,+8c,8,9,1,PySR (Symbolic Regression),1.181696354026823,1.3862943611198906,1.3281724032065128,1.2940341328604608,1.309333321639447,1.5245074674456989,1.2923742386628716,1.2288093602206105,1.378354896691028,1.181696354026823
6,-18c,-18,-17,1,XGBoost,0.22227592027419776,0.35667496096863105,0.37281071638896374,0.382931042977108,0.38566249768535854,0.2593518732451927,0.22227592027419776,0.43011077786172847,0.2525128215723054,0.4295555754822206
6,-7c,-7,-6,1,LightGBM,0.0680865000276439,0.12783336846192012,0.15835327055237083,0.17719722003542748,0.10536051317429944,0.13387567411187884,0.13327119260039583,0.0680865000276439,0.09060008199284046,0.17808947540718548
6,-4c,-4,-3,1,LightGBM,0.7091850092208162,0.9162907914788017,0.9037606821046232,0.896035500460502,0.8675006255354217,1.01023173936413,0.7442438115076054,0.7091850092208162,0.8810881314567288,0.8510070336468998
6,-3c,-3,-2,8,CatBoost,0.8940381523324263,1.011188480506636,0.932769551080876,0.8986086066281709,0.9470941589156178,0.9965423792193966,0.9447291462784095,0.9790079664210207,0.8940381523324263,1.1481423055348656
6,-2c,-2,-1,15,Student-T df=3,0.6347383737293153,0.6842279716925223,0.6490101543364791,0.6347383737293153,0.7262689660927772,0.6873917340764704,0.6749432535523264,0.6864599712286166,0.7129026290604654,0.7100522943089966
6,-1c,-1,0,38,Momentum-Adjusted Gaussian,0.4922272170661168,0.49421029613839096,0.5011195345233129,0.5058168346617588,0.4922272170661168,0.49600063437896513,0.5081907652115724,0.5056656141570954,0.5029737156871809,0.4991094681110347
6,+0c,0,1,128,PySR (Symbolic Regression),0.4406701400419337,0.447590356700979,0.4539441255140668,0.4589330202035748,0.447590356700979,0.4503757639177589,0.4461932465391021,0.448231645313092,0.4490556881867179,0.4406701400419337
6,+1c,1,2,47,Momentum-Adjusted Gaussian,0.47882629585332925,0.4819252747483942,0.48770386423347845,0.4919207049184844,0.47882629585332925,0.486838298003562,0.48298630773340284,0.5010832059280267,0.4829752408400656,0.47896440404613977
6,+2c,2,3,17,Momentum-Adjusted Gaussian,0.611971355164651,0.6274741173809929,0.6239503578083575,0.6227224039368483,0.611971355164651,0.6380307372650552,0.6531181887450029,0.6475214669894934,0.6418459128443238,0.6148753152795616
6,+3c,3,4,3,LightGBM,0.6705124166863748,0.7143288072427061,0.7019131853343797,0.6953308274184961,0.7040984549552213,0.7385896221909638,0.7084310107369368,0.6705124166863748,0.722803228269175,0.6735906296446106
6,+4c,4,5,1,PySR (Symbolic Regression),0.9641062019707952,1.0788097385073556,1.053989026866762,1.0388766379137473,1.1394343637477709,1.0718193225372876,1.085918255601283,1.0321370204219842,1.112367052984196,0.9641062019707952
6,+6c,6,7,1,PySR (Symbolic Regression),0.01005033585350145,0.04082201687199717,0.07278481760053276,0.09337816079196841,0.02020272966926149,0.059176453147947415,0.04036763469264604,0.04738178314179973,0.057476502535373265,0.01005033585350145
6,+8c,8,9,1,PySR (Symbolic Regression),0.9641062019707952,1.0788097385073556,1.053989026866762,1.0388766379137473,1.1394343637477709,1.0492094516701571,1.2571095929772467,1.0480579234457381,1.4906176621351268,0.9641062019707952
5,-10c,-10,-9,1,XGBoost,0.9825309424246605,1.2378743847762739,1.1976056268981754,1.1734936748441218,1.3093333492341903,1.1431889035578726,0.9825309424246605,1.2327891974066723,1.3899596013382733,1.0743756188818434
5,-7c,-7,-6,1,Machine Learning (Logistic Regression),0.5902408833452154,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.7339691741488779,0.5902408833452154,0.8843838483593601,0.8785517038470501,0.9157310942455168,0.6925206936087145
